condizione,dimensione,statistica,p_value_raw,n_frasi,mean_Napoletano,mean_Italiano_Auto,mean_Parmigiano,mean_Siciliano,p_value_corrected,significant
Raw,Coscienzioso,40.536,0.0,141,1.745,2.121,1.816,1.837,0.0,True
Raw,Mentalita_aperta,12.106,0.00703,141,1.936,2.128,1.957,1.922,0.04218,True
Raw,Amichevole,26.253,1e-05,141,2.702,2.333,2.56,2.518,5e-05,True
Raw,Urbano,172.36,0.0,141,1.362,2.227,1.376,1.312,0.0,True
Raw,Calmo,6.588,0.08624,141,2.908,2.738,2.943,2.837,0.51743,False
Raw,Istruito,142.593,0.0,141,1.482,2.184,1.511,1.468,0.0,True
Refined,Coscienzioso,5.656,0.12963,141,2.191,2.213,2.191,2.099,0.77775,False
Refined,Mentalita_aperta,4.645,0.19973,141,2.248,2.227,2.22,2.135,1.0,False
Refined,Amichevole,34.834,0.0,141,2.809,2.39,2.674,2.631,0.0,True
Refined,Urbano,57.17,0.0,141,1.965,2.44,1.915,1.83,0.0,True
Refined,Calmo,6.974,0.07273,141,2.95,2.759,2.965,2.872,0.4364,False
Refined,Istruito,7.049,0.07034,141,2.383,2.418,2.369,2.284,0.42206,False
